中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度,峰值速度数值
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,216 ms,34 Mbps,4455 kB/s,4455.0
129.151.148.35,443,2a09:bac5:13:25a::3c:1a,AE,Dubai,隧道,192 ms,33 Mbps,4317 kB/s,4317.0
129.154.46.115,443,104.28.201.82,IN,Hyderabad,隧道,215 ms,31 Mbps,4030 kB/s,4030.0
168.138.201.0,443,168.138.201.0,JP,Tokyo,中转,263 ms,31 Mbps,4016 kB/s,4016.0
129.159.22.4,443,129.159.22.4,IN,Chennai,中转,216 ms,30 Mbps,3922 kB/s,3922.0
141.147.190.128,443,141.147.190.128,JP,Tokyo,中转,210 ms,30 Mbps,3887 kB/s,3887.0
144.24.90.107,443,2603:c024:4:da6e:29b:6c99:385b:c051,KR,Seoul,隧道,181 ms,29 Mbps,3794 kB/s,3794.0
47.90.141.204,443,91.149.239.70,US,Los Angeles,隧道,31 ms,26 Mbps,3376 kB/s,3376.0
193.123.69.77,443,193.123.69.77,AE,,中转,186 ms,25 Mbps,3227 kB/s,3227.0
8.211.54.130,443,8.211.54.130,DE,Singapore,中转,90 ms,15 Mbps,1963 kB/s,1963.0
44.230.218.23,443,52.35.136.129,US,,隧道,85 ms,6 Mbps,889 kB/s,889.0
141.147.163.68,443,141.147.163.68,JP,Tokyo,中转,214 ms,5 Mbps,702 kB/s,702.0
138.3.222.33,443,138.3.222.33,JP,Tokyo,中转,262 ms,3 Mbps,448 kB/s,448.0
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,226 ms,2 Mbps,283 kB/s,283.0
8.210.92.27,443,8.210.92.27,HK,Hong Kong,中转,230 ms,0 Mbps,35 kB/s,35.0
47.57.245.232,443,47.88.1.44,US,San Jose,隧道,233 ms,0 Mbps,20 kB/s,20.0
47.57.13.107,443,8.212.22.44,HK,Hong Kong,隧道,231 ms,0 Mbps,2 kB/s,2.0
130.61.23.77,443,130.61.23.77,DE,214 Mbps,27443 kB/s,,,,
